current_pid,cpu_percentage,duration_in_seconds
159299,0.0,0.0856
159296,0.0,0.0531
159301,0.0,0.0605
159298,0.0,0.1051
159300,0.0,0.0589
159302,0.0,0.0933
159303,0.0,0.0538
159297,0.0,0.0641
159294,0.0,0.0730
159295,0.0,0.0666
159296,0.0,0.0535
159299,0.0,0.0726
159301,0.0,0.0638
159298,0.0,0.0628
159297,0.0,0.0634
159300,0.0,0.0789
159295,0.0,0.0578
159302,0.0,0.0713
159296,0.0,0.0565
159294,0.0,0.0659
159303,0.0,0.0856
159299,0.0,0.0546
159301,0.0,0.0613
159298,0.0,0.0625
159295,0.0,0.0507
159296,0.0,0.0541
159297,0.0,0.0651
159300,0.0,0.0638
159302,0.0,0.0671
159294,0.0,0.0622
159299,0.0,0.0597
159303,0.0,0.0606
159301,0.0,0.0568
159298,0.0,0.0626
159295,0.0,0.0611
159296,0.0,0.0556
159297,0.0,0.0543
159294,0.0,0.0560
159300,0.0,0.0666
159302,0.0,0.0619
159299,0.0,0.0542
159303,0.0,0.0763
159301,0.0,0.0616
159298,0.0,0.0599
159296,0.0,0.0619
159297,0.0,0.0662
159295,0.0,0.0732
159302,0.0,0.0839
159299,0.0,0.0810
159294,0.0,0.0855
159300,0.0,0.0897
159303,0.0,0.0736
159301,0.0,0.0758
159296,0.0,0.0745
159298,0.0,0.0949
159297,0.0,0.0838
159295,0.0,0.0884
159294,0.0,0.0662
159300,0.0,0.0674
159302,0.0,0.0787
159299,0.0,0.0806
159303,0.0,0.0832
159297,0.0,0.0738
159301,0.0,0.1112
159294,0.0,0.0637
159299,0.0,0.0578
159295,0.0,0.0782
159300,0.0,0.0708
159298,0.0,0.1061
159296,0.0,0.1191
159302,0.0,0.0812
159303,0.0,0.0699
159294,0.0,0.0498
159297,0.0,0.0562
159301,0.0,0.0594
159295,0.0,0.0528
159299,0.0,0.0554
159300,0.0,0.0740
159302,0.0,0.0650
159298,0.0,0.0760
159303,0.0,0.0578
159296,0.0,0.0704
159294,0.0,0.0503
159297,0.0,0.0488
159301,0.0,0.0534
159299,0.0,0.0642
159295,0.0,0.0834
159300,0.0,0.0647
159297,0.0,0.0513
159302,0.0,0.0623
159298,0.0,0.0586
159303,0.0,0.0703
159301,0.0,0.0562
159296,0.0,0.0740
159294,0.0,0.0719
159299,0.0,0.0559
159297,0.0,0.0472
159298,0.0,0.0511
159302,0.0,0.0600
159300,0.0,0.0666
159295,0.0,0.0770
159294,0.0,0.0500
159301,0.0,0.0575
159303,0.0,0.0591
159299,0.0,0.0575
159297,0.0,0.0485
159296,0.0,0.0783
159298,0.0,0.0499
159295,0.0,0.0565
159294,0.0,0.0548
159302,0.0,0.0664
159300,0.0,0.0640
159301,0.0,0.0606
159303,0.0,0.0630
159297,0.0,0.0470
159299,0.0,0.0714
159296,0.0,0.0692
159302,0.0,0.0498
159295,0.0,0.0633
159298,0.0,0.0849
159303,0.0,0.0577
159300,0.0,0.0648
159294,0.0,0.0701
159301,0.0,0.0747
159297,0.0,0.0680
159299,0.0,0.0734
159296,0.0,0.0729
159302,0.0,0.0664
159300,0.0,0.0650
159297,0.0,0.0493
159295,0.0,0.0757
159301,0.0,0.0663
159294,0.0,0.0814
159303,0.0,0.0854
159298,0.0,0.1103
159296,0.0,0.0652
159297,0.0,0.0494
159299,0.0,0.0843
159302,0.0,0.0730
159300,0.0,0.0659
159295,0.0,0.0658
159301,0.0,0.0766
159294,0.0,0.0765
159298,0.0,0.0616
159303,0.0,0.0844
159296,0.0,0.0673
159302,0.0,0.0618
159297,0.0,0.0708
159299,0.0,0.0662
159295,0.0,0.0657
159301,0.0,0.0585
159298,0.0,0.0528
159300,0.0,0.0863
159294,0.0,0.0615
159297,0.0,0.0489
159302,0.0,0.0494
159303,0.0,0.0727
159299,0.0,0.0675
159295,0.0,0.0603
159298,0.0,0.0532
159301,0.0,0.0568
159296,0.0,0.0998
159294,0.0,0.0619
159297,0.0,0.0571
159300,0.0,0.0766
159303,0.0,0.0620
159299,0.0,0.0550
159302,0.0,0.0769
159295,0.0,0.0624
159296,0.0,0.0555
159298,0.0,0.0677
159301,0.0,0.0781
159294,0.0,0.0689
159297,0.0,0.0730
159300,0.0,0.0772
159299,0.0,0.0788
159303,0.0,0.0840
159302,0.0,0.0897
159300,0.0,0.0634
159295,0.0,0.1172
159296,0.0,0.1095
159303,0.0,0.0614
159301,0.0,0.1123
159299,0.0,0.0739
159297,0.0,0.1029
159294,0.0,0.1157
159298,0.0,0.1409
159300,0.0,0.0484
159295,0.0,0.0553
159302,0.0,0.1010
159303,0.0,0.0526
159296,0.0,0.0603
159301,0.0,0.0494
159299,0.0,0.0636
159298,0.0,0.0658
159294,0.0,0.0792
159297,0.0,0.0845
159295,0.0,0.0578
159301,0.0,0.0589
159300,0.0,0.0802
159303,0.0,0.0718
159296,0.0,0.0727
159299,0.0,0.0575
159298,0.0,0.0471
159302,0.0,0.0884
159294,0.0,0.0478
159295,0.0,0.0617
159300,0.0,0.0544
159303,0.0,0.0624
159297,0.0,0.0891
159301,0.0,0.0759
159299,0.0,0.0590
159296,0.0,0.0698
159298,0.0,0.0568
159294,0.0,0.0528
159302,0.0,0.0818
159300,0.0,0.0532
159295,0.0,0.0643
159301,0.0,0.0532
159303,0.0,0.0643
159294,0.0,0.0603
159299,0.0,0.0676
159300,0.0,0.0546
159302,0.0,0.0591
159295,0.0,0.0560
159298,0.0,0.0931
159296,0.0,0.1060
159297,0.0,0.1150
159301,0.0,0.0579
159303,0.0,0.0604
159294,0.0,0.0593
159299,0.0,0.0626
159300,0.0,0.0506
159302,0.0,0.0570
159298,0.0,0.0614
159301,0.0,0.0641
159296,0.0,0.0707
